Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45104
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,19.8,0,19.8,45096
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,5.66,0,5.66,45104
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45020
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45027
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45034
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45041
Redacted Personal Data,Section 17,Asylum Client Expenditure,96.2,0,96.2,45047
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45054
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45062
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45068
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45076
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45082
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45090
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45104
Redacted Personal Data,Carer's Service,Personalisation,321.51,0,321.51,45034
Redacted Personal Data,Carer's Service,Personalisation,311.15,0,311.15,45062
Redacted Personal Data,Carer's Service,Personalisation,321.51,0,321.51,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,3309.03,0,3309.03,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,3308.94,0,3308.94,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,3202.2,0,3202.2,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,661.14,0,661.14,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,639.82,0,639.82,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,661.14,0,661.14,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1264.14,0,1264.14,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1223.35,0,1223.35,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1264.14,0,1264.14,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,4553.14,0,4553.14,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-350.87,0,-350.87,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-288.43,0,-288.43,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-345.67,0,-345.67,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1470.29,0,1470.29,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1422.85,0,1422.85,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1827.19,0,1827.19,45096
Redacted Personal Data,Foster Payments,Fostering,336,0,336,45022
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45034
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45041
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45044
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45051
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45062
Redacted Personal Data,Foster Payments,Fostering,168,0,168,45069
Redacted Personal Data,Foster Payments,Permanency Team,168,0,168,45071
Redacted Personal Data,Foster Payments,Permanency Team,168,0,168,45083
Redacted Personal Data,Foster Payments,Permanency Team,168,0,168,45090
Redacted Personal Data,Foster Payments,Permanency Team,168,0,168,45097
Redacted Personal Data,Foster Payments,Permanency Team,168,0,168,45104
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,3007.92,0,3007.92,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,856.45,0,856.45,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,885.01,0,885.01,45096
Redacted Personal Data,Other Professionals,Bibliography,75,15,90,45027
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-137.13,0,-137.13,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-114.95,0,-114.95,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-118.77,0,-118.77,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2192.14,0,2192.14,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2121.43,0,2121.43,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2192.14,0,2192.14,45096
Redacted Personal Data,Foster Payments,Permanency Team,228.86,0,228.86,45022
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45034
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45041
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45044
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45051
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45062
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45069
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45071
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45083
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45090
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45097
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45104
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45104
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,24,0,24,45096
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,6.86,0,6.86,45104
Redacted Personal Data,Soc. Serv Client DP,Fostering,519,0,519,45051
Redacted Personal Data,Storage/Archiving,Cap - Regeneration,3000,600,3600,45076
Redacted Personal Data,Storage/Archiving,Civic Centre De-Commissioning,1770,354,2124,45033
Redacted Personal Data,Storage/Archiving,Civic Centre De-Commissioning,1500,300,1800,45078
Redacted Personal Data,Storage/Archiving,Civic Centre De-Commissioning,1600,320,1920,45079
Redacted Personal Data,Storage/Archiving,Civic Centre De-Commissioning,3450,690,4140,45089
Redacted Personal Data,Storage/Archiving,Flexible Futures,4467.5,893.5,5361,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-370.33,0,-370.33,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-333.22,0,-333.22,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-344.32,0,-344.32,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1072.16,0,1072.16,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1037.57,0,1037.57,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1072.16,0,1072.16,45096
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-76.5,0,-76.5,45019
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45036
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45043
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45050
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45057
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45064
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45071
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45078
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45085
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45092
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45099
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45106
Redacted Personal Data,Residential Placemnt,Shared Lives,520.07,0,520.07,45019
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45036
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45043
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45050
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45057
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45064
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45071
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45078
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45085
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45092
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45099
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45106
Redacted Personal Data,Residential Placemnt,Shared Lives,520.07,0,520.07,45019
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45036
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45043
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45050
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45057
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45064
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45071
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45078
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45085
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45092
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45099
Redacted Personal Data,Residential Placemnt,Shared Lives,404.5,0,404.5,45106
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,701.71,0,701.71,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,679.07,0,679.07,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,701.71,0,701.71,45096
Redacted Personal Data,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,3007.8,0,3007.8,45034
Redacted Personal Data,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,2005.2,0,2005.2,45089
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,138.47,0,138.47,45022
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45034
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45041
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45044
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45051
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45062
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45069
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45071
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45083
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45090
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45097
Redacted Personal Data,Soc. Serv Client DP,Permanency Team,107.7,0,107.7,45104
Redacted Personal Data,Foster Payments,Permanency Team,228.86,0,228.86,45022
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45034
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45041
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45044
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45051
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45062
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45069
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45071
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45083
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45090
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45097
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45104
Redacted Personal Data,Foster Payments,Permanency Team,228.86,0,228.86,45022
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45034
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45041
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45044
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45051
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45062
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45069
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45071
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45083
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45090
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45097
Redacted Personal Data,Foster Payments,Permanency Team,178,0,178,45104
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,434.09,0,434.09,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,420.08,0,420.08,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,434.09,0,434.09,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-201.39,0,-201.39,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-182.78,0,-182.78,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-188.88,0,-188.88,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,882.17,0,882.17,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,853.72,0,853.72,45062
