,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FOSTER CARE ASSOCIATES LTD,10/12/2024,12076006,"4,084.36",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FOSTER CARE ASSOCIATES LTD,10/12/2024,12076006,"5,872.72",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FOSTER CARE ASSOCIATES LTD,10/12/2024,12076006,"3,976.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FOSTER CARE ASSOCIATES LTD,10/12/2024,12076006,"3,819.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,GEORGINA HANSER FOR FAIRVIEW FARM ENTERPRISES,10/12/2024,12076006,"3,474.80",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8605,GHG SOLUTIONS LTD,10/12/2024,12076006,819.84,Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,5606,GOWLING WLG (UK) LLP OFFICE,10/12/2024,12076006,"7,884.00",Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,5606,GOWLING WLG (UK) LLP OFFICE,10/12/2024,12076006,900.00,Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,GREAT FUTURE SUPPORT LTD,10/12/2024,12076006,"1,700.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,GREAT FUTURE SUPPORT LTD,10/12/2024,12076006,536.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,GRIHA CARE AND SUPPORT LIMITED,10/12/2024,12076006,502.11,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,GRIHA CARE AND SUPPORT LIMITED,10/12/2024,12076006,"1,240.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,GRIHA CARE AND SUPPORT LIMITED,10/12/2024,12076006,"2,000.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,GRIHA CARE AND SUPPORT LIMITED,10/12/2024,12076006,"4,800.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,GRIHA CARE AND SUPPORT LIMITED,10/12/2024,12076006,"1,230.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,HALES GROUP LTD,10/12/2024,12076006,"2,310.19",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3790,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,10/12/2024,12076006,866.88,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3790,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,10/12/2024,12076006,878.92,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3990,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,10/12/2024,12076006,"1,850.91",Recruitment,Indirect Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3152,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,10/12/2024,12076006,700.00,Recruitment,Indirect Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1210,HEADWAY ESSEX,10/12/2024,12076006,710.56,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,HEXAGON CARE SERVICES LTD,10/12/2024,12076006,"31,268.57",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,539.61,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8608,HOPEWORX RE-USE CENTRE,10/12/2024,12076006,"3,128.49",Furniture Purchase,Equipment Furniture And Materials
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,INDIGO CHILDREN'S CARE HOMES LTD,10/12/2024,12076006,"26,000.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4120,INSTAKIL PEST CONTROL SERVICES,10/12/2024,12076006,810.33,Pest Control,Cleaning And Domestic Supplies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,INTEGRATED SERVICES PROGRAMME,10/12/2024,12076006,"3,373.72",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,197.90",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,326.86",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,950.05,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,808.97,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,835.11,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,517.34",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,089.61",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,KEMFA SERVICES LTD,10/12/2024,12076006,"2,048.67",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,KESWICK CARE LTD,10/12/2024,12076006,"34,285.72",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,KEYS PCE LIMITED,10/12/2024,12076006,"28,812.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,10/12/2024,12076006,550.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,10/12/2024,12076006,700.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,10/12/2024,12076006,"2,500.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,10/12/2024,12076006,550.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,10/12/2024,12076006,"7,114.26",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,LETTING INTERNATIONAL LTD CLIENTS ACCOUNT,10/12/2024,12076006,"7,880.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,181.56",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,LIONCARE LTD T/A SEAFIELDS,10/12/2024,12076006,"21,011.48",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3455,REDACTED PERSONAL DATA,10/12/2024,12076006,532.00,Guardianship Orders,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,REDACTED PERSONAL DATA,10/12/2024,12076006,852.90,Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,MALVERN LODGE GUEST HOUSE LTD,10/12/2024,12076006,"9,675.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,563.61,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,745.12,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,10/12/2024,12076006,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,630.95",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,132.00",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,778.74,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,751.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,575.62,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6130,MOVE LETTINGS LTD,10/12/2024,12076006,"2,240.00",Loans,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8605,MPL LEGAL SERVICES LTD,10/12/2024,12076006,735.00,Court Costs And Legal Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,838.56,Foster Carer Allowance,Other Agencies
