,Transparency Report November 2023,,,,,,,
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009431,REDACTED - Personal Data,640
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009432,REDACTED - Personal Data,2024
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009438,REDACTED - Personal Data,600
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009439,REDACTED - Personal Data,840
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009447,REDACTED - Personal Data,697.6
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009448,REDACTED - Personal Data,840
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009449,REDACTED - Personal Data,1056
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009450,REDACTED - Personal Data,620.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009451,REDACTED - Personal Data,620.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG189,Other establishments,45251,SOT1009557,REDACTED - Personal Data,2160
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG189,Other establishments,45251,SOT1009848,REDACTED - Personal Data,826.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009480,REDACTED - Personal Data,6312.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009485,REDACTED - Personal Data,605.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009486,REDACTED - Personal Data,2114.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009487,REDACTED - Personal Data,1111.12
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009490,REDACTED - Personal Data,1356.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009491,REDACTED - Personal Data,775.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009494,REDACTED - Personal Data,2273.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009498,REDACTED - Personal Data,1653.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009499,REDACTED - Personal Data,1308
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009501,REDACTED - Personal Data,4115.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009513,REDACTED - Personal Data,610.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009517,REDACTED - Personal Data,697.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009525,REDACTED - Personal Data,723.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009526,REDACTED - Personal Data,775.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009529,REDACTED - Personal Data,14708.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009530,REDACTED - Personal Data,1240.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009531,REDACTED - Personal Data,1214.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009532,REDACTED - Personal Data,2869.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009534,REDACTED - Personal Data,1273.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009539,REDACTED - Personal Data,1007.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009542,REDACTED - Personal Data,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009544,REDACTED - Personal Data,2256.4600000000005
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009548,REDACTED - Personal Data,2532.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009550,REDACTED - Personal Data,2170.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009555,REDACTED - Personal Data,540
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009560,REDACTED - Personal Data,644.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009561,REDACTED - Personal Data,826.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009570,REDACTED - Personal Data,2856
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009579,REDACTED - Personal Data,1292
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009587,REDACTED - Personal Data,1320
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009599,REDACTED - Personal Data,775.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009601,REDACTED - Personal Data,1447.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009605,REDACTED - Personal Data,2203.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009609,REDACTED - Personal Data,1406
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009614,REDACTED - Personal Data,3488
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009619,REDACTED - Personal Data,2231.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009620,REDACTED - Personal Data,502.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009622,REDACTED - Personal Data,5671.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009625,REDACTED - Personal Data,813.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009627,REDACTED - Personal Data,1085.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009631,REDACTED - Personal Data,540
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009634,REDACTED - Personal Data,1602.08
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009635,REDACTED - Personal Data,588
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009636,REDACTED - Personal Data,2408.12
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009645,REDACTED - Personal Data,620.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009647,REDACTED - Personal Data,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009656,REDACTED - Personal Data,7000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009657,REDACTED - Personal Data,1201.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009659,REDACTED - Personal Data,1912.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009662,REDACTED - Personal Data,3859.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009663,REDACTED - Personal Data,904.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009665,REDACTED - Personal Data,902.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009666,REDACTED - Personal Data,819
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009667,REDACTED - Personal Data,922.49
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009668,REDACTED - Personal Data,1653.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009672,REDACTED - Personal Data,3422.08
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009675,REDACTED - Personal Data,1548.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009679,REDACTED - Personal Data,1024
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009683,REDACTED - Personal Data,633.08
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009684,REDACTED - Personal Data,1266.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009690,REDACTED - Personal Data,1447.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009691,REDACTED - Personal Data,636.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009699,REDACTED - Personal Data,1416.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009704,REDACTED - Personal Data,1105
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009719,REDACTED - Personal Data,1308
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009721,REDACTED - Personal Data,629.85
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009725,REDACTED - Personal Data,1896.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009727,REDACTED - Personal Data,516.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009731,REDACTED - Personal Data,2871.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009733,REDACTED - Personal Data,2945.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009734,REDACTED - Personal Data,1302
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009740,REDACTED - Personal Data,930.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009741,REDACTED - Personal Data,813.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009742,REDACTED - Personal Data,8682.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009743,REDACTED - Personal Data,1343.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009744,REDACTED - Personal Data,2458.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009748,REDACTED - Personal Data,775.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009754,REDACTED - Personal Data,716.43
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009756,REDACTED - Personal Data,1190.07
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009757,REDACTED - Personal Data,1966
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009760,REDACTED - Personal Data,1318.08
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009762,REDACTED - Personal Data,1764
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009767,REDACTED - Personal Data,1731.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009771,REDACTED - Personal Data,3964.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009773,REDACTED - Personal Data,2685.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009776,REDACTED - Personal Data,2582.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009778,REDACTED - Personal Data,775.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009780,REDACTED - Personal Data,599.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009791,REDACTED - Personal Data,684
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009799,REDACTED - Personal Data,2005.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009811,REDACTED - Personal Data,2131.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009813,REDACTED - Personal Data,1148
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009815,REDACTED - Personal Data,1155
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009816,REDACTED - Personal Data,1050
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009819,REDACTED - Personal Data,2252.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009822,REDACTED - Personal Data,3095.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009825,REDACTED - Personal Data,600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009827,REDACTED - Personal Data,990
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009835,REDACTED - Personal Data,540
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009837,REDACTED - Personal Data,2416
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009838,REDACTED - Personal Data,2847.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009840,REDACTED - Personal Data,540
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009845,REDACTED - Personal Data,1104.23
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009852,REDACTED - Personal Data,5240.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009855,REDACTED - Personal Data,1038.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009858,REDACTED - Personal Data,2300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009862,REDACTED - Personal Data,900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009864,REDACTED - Personal Data,1965.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009868,REDACTED - Personal Data,1423.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009869,REDACTED - Personal Data,684
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009872,REDACTED - Personal Data,1033.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45251,SOT1009874,REDACTED - Personal Data,3710.56
