Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,486020,Service level agreements E486,05/09/2024,4311031-I-24-4351039,"£15,770.00",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311031-I-24-4351347,"£5,609.24",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311032-I-24-4351465,"£63,595.39",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311033-I-24-4351371,"£17,386.40",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311034-I-24-4351019,"£35,839.04",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311034-I-24-4351068,"£24,911.95",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311034-I-24-4351114,"£14,938.80",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311034-I-24-4351225,"£17,485.04",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311034-I-24-4351238,"£16,782.00",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311034-I-24-4351251,"£1,391.71",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311034-I-24-4351324,"£17,061.12",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311034-I-24-4351516,"£7,063.80",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311035-I-24-4351546,"£4,967.16",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311036-I-24-4351478,"£5,541.16",NORTH EAST AUTISM SOCIETY T/A NEAS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472110,Purchase of Care,05/09/2024,4311038-I-24-4351224,"£1,811.88",NORTH TYNESIDE COUNCIL.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311039-I-24-4351249,"£1,672.40",NORTHERN LIFE CARE LTD T/A UBU.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311040-I-24-4351614,"£21,900.00",NORWOOD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311041-I-24-4351297,£715.84,NUGENT.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351010,"£3,882.24",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351063,"£18,816.00",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351070,"£32,984.44",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351071,"£11,068.64",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351105,"£19,775.24",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351107,"£16,833.04",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351108,"£17,360.48",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351186,"£10,886.40",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351236,"£30,486.72",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351237,"£26,956.80",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351250,"£28,436.16",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351275,"£14,278.64",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351276,"£11,116.80",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351317,"£31,822.08",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311042-I-24-4351343,"£5,443.20",OAKLEA TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311043-I-24-4351090,"£5,040.94",OBJECT QUEST LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311043-I-24-4351397,"£63,874.30",OBJECT QUEST LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311044-I-24-4351106,"£6,369.48",OLIVE STONE SUPPORT.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311044-I-24-4351194,"£19,551.60",OLIVE STONE SUPPORT.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311047-I-24-4351059,"£3,565.69",ONE TO ONE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311048-I-24-4351220,"£123,242.50",ORCHARD HOME CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311049-I-24-4351370,"£9,632.28",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311050-I-24-4351261,£742.00,OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311050-I-24-4351568,"£9,632.28",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311051-I-24-4351430,"£6,421.52",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311052-I-24-4351092,£593.60,OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311052-I-24-4351415,"£9,632.28",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311053-I-24-4351181,"£1,335.60",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311053-I-24-4351503,"£21,084.96",OSWALD HOUSE CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311054-I-24-4351461,"£16,520.00",PARAMOUNT CARE (EASINGTON) LTD T/A RIVERSIDE PLACE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311055-I-24-4351606,"£34,494.60",PARAMOUNT CARE (GATESHEAD) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311056-I-24-4351630,"£13,680.00",PATHWAYS CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311058-I-24-4351303,"£205,065.48",PERFECT CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311059-I-24-4351252,"£1,956.24",PHOENIX DAY CENTRE CIC.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311060-I-24-4351521,"£9,257.14",PHOENIX FUTURES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311061-I-24-4351313,"£8,465.28",PIONEERING CARE PARTNERSHIP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311062-I-24-4351382,"£3,200.00",POPULAR CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311063-I-24-4351492,"£13,532.64",POPULAR CARE LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311063-I-24-4351567,"£102,879.74",POPULAR CARE LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311065-I-24-4351074,"£17,533.60",POSITIVE INDIVIDUAL PROACTIVE SUPPORT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311065-I-24-4351197,"£45,723.12",POSITIVE INDIVIDUAL PROACTIVE SUPPORT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311066-I-24-4351333,"£16,897.72",POSSIBILITES NE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311067-I-24-4351198,"£26,384.92",POTENSIAL LTD T/A POTENS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311068-I-24-4351298,"£20,121.60",POTENSIAL LTD T/A POTENS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311069-I-24-4351446,"£41,529.32",POTENSIAL LTD T/A POTENS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311070-I-23-6184937,"£3,657.80",POTENSIAL LTD T/A POTENS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311071-I-24-4351534,"£161,913.91",PREMIER CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311072-I-24-4351635,"£51,955.58",PREMIER CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311073-I-24-4351096,"£115,474.31",PREMIER COMMUNITY CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311074-I-24-4351610,"£3,147.36",PREMIER NURSING HOMES LTD T/A BRIARWOOD CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311075-I-24-4351617,£936.32,PRESTWICK CARE T/A BELLE VUE HOUSE CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311076-I-24-4351482,"£4,133.12",PRIMROSE CARE HOME HETTON LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311078-I-24-4351609,"£19,536.12",QUALIA CARE LTD T/A WASHINGTON LODGE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311079-I-24-4351344,"£8,801.00",QUALITY & CARE SOLUTIONS LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311080-I-24-4351033,"£13,531.00",QUALITY FIRST CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311081-I-24-4351600,"£47,245.04",RAYSON HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311082-I-24-4351366,"£69,219.16",RAYSON HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311083-I-24-4351111,"£23,754.46",REAL CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311084-I-24-4351011,"£27,166.42",REAL LIFE OPTIONS LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311085-I-24-3959894,"£5,200.00",REDWOOD TOWER UK OPCO 2 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311085-I-24-4146141,"£5,200.00",REDWOOD TOWER UK OPCO 2 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311085-I-24-4351590,"£5,200.00",REDWOOD TOWER UK OPCO 2 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311086-I-24-4351632,"£18,587.72",RENAL HEALTH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311087-I-24-4351583,"£6,540.52",RESOLVE (CARE NORTHERN) LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311088-I-24-4351458,"£28,947.08",RESOLVE (CARE NORTHERN) LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311090-I-24-4351174,"£18,204.68",RICHMOND FELLOWSHIP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311094-I-24-4351549,"£12,640.00",ROC FAMILY SUPPORT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311096-I-24-4351624,"£3,470.12",ROSEBERRY CARE CENTRES (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311097-I-24-4351488,"£111,827.12",ROSEBERRY CARE CENTRES GB LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311098-I-24-4351611,"£3,321.00",ROSEFIELD CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311099-I-24-4146199,"£10,876.47",ROSEFIELD CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311099-I-24-4351650,"£2,802.51",ROSEFIELD CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311100-I-24-4351512,"£30,818.29",ROSEMOUNT TRUST.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311101-I-24-4351518,"£3,078.20",RUNWOOD HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311102-I-24-4351369,"£6,573.80",SAINT JOHN OF GOD HOSPITALLER SERVICES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311104-I-24-4351559,"£123,444.37",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311105-I-24-4351353,"£153,138.98",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311106-I-24-4351483,"£3,371.96",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311107-I-24-4351356,"£131,718.84",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311108-I-24-4351605,"£114,993.81",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311109-I-24-4351375,"£49,327.84",SANCTUARY CARE (ENGLAND) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311110-I-24-4351308,"£3,168.00",SANCTUARY HOME CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311111-I-24-4351177,"£1,817.00",SANCTUARY HOME CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311114-I-24-4351646,"£122,367.07",SEAHAM CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311115-I-24-4351445,"£93,685.39",SEAHAM CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311116-I-24-4351180,"£38,059.00",SECOND TO NONE CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311117-I-24-4351513,"£25,890.36",SELF (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311118-I-24-4351414,"£149,423.05",SHAFTESBURY CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311119-I-24-4351431,"£6,827.64",SHAFTESBURY CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311120-I-24-4351312,"£15,598.15",SHAW TRUST GARDEN PROJECT.*,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311121-I-24-4351126,"£69,771.19",SHEENA MILES CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311123-I-24-4351601,"£55,876.48",SHERBURN HOUSE CHARITY.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311125-I-24-4351613,"£3,057.48",SLW LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4311126-I-24-4351454,"£2,335.24",SOLEHAWK LTD T/A CRAIGIELEA CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311127-I-24-4351127,"£7,219.20",SOVEREIGN CARE (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311128-I-24-4351335,"£7,415.04",SOVEREIGN CARE (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311128-I-24-4351652,"£38,978.60",SOVEREIGN CARE (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311129-I-24-4351547,"£12,066.24",SPECIALITY CARE (REHAB) LTD.,,,,,,
