Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Children and Young Peoples Services,Head of Education and Skills,070264,EDC Premises,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396530294,AMZNBusiness UM6JK8IZ5,5999,Other consumables,67.19,11.20,55.99
Regeneration Economy and Growth,Culture Sport and Tourism,054235,Bishop Auckland Town Hall Cafe,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396685198,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,372.06,0.00,372.06
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396685210,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,41.42,0.00,41.42
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396685216,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,115.79,0.00,115.79
Regeneration Economy and Growth,Corporate Property and Land,021324,Catering - Meadowfield,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396685226,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,49.01,0.00,49.01
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,19-Dec-2024,000010403454076,Park Head Hotel,7011,Conferencesseminars fees etc,25.00,0.00,25.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010403454690,PRIMARK,5651,Clothing uniforms and laundry,31.50,0.00,31.50
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Transport,235057,Public Transport,19-Dec-2024,000010403454700,YOURPARKINGSPACE,7523,Staff travelling,2.00,0.00,2.00
Children and Young Peoples Services,Head of Childrens Social Care,085347,Solo Home The Manse,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403455146,AMAZON NP0LS1YM5,5399,Catering costs - provisions,-44.99,0.00,-44.99
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669488,BESTWAY WHOLESALE,5300,Catering costs - provisions,115.62,19.27,96.35
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669488 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,296.31,,296.31
Regeneration Economy and Growth,Corporate Property and Land,021235,Catering - Wharton Park,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669518,BESTWAY WHOLESALE,5300,Catering costs - provisions,142.26,23.71,118.55
Regeneration Economy and Growth,Corporate Property and Land,021235,Catering - Wharton Park,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669518 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,25.73,,25.73
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669538,BESTWAY WHOLESALE,5300,Catering costs - provisions,237.32,39.56,197.76
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669546,BESTWAY WHOLESALE,5300,Catering costs - provisions,353.28,58.88,294.40
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010403669546 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,64.91,,64.91
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010396529082,NIKE Retail UK,5655,Clothing uniforms and laundry,174.99,0.00,174.99
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,20-Dec-2024,000010396529350,AMZNMktplace N30GT9WK5,5999,Other consumables,16.99,2.83,14.16
Resources BK0010,Procurement Sales & Business Services,069800,Corporate Procurement,Supplies and Services,304999,Equipment and Materials,20-Dec-2024,000010396529984,MAILPOET,5815,Misc equipment tools and materials,12.33,0.00,12.33
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304221,Equipment and Materials,20-Dec-2024,000010403453870,B & Q 1343,5200,Direct materials,26.15,0.00,26.15
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,304403,Equipment and Materials,20-Dec-2024,000010403453908,INSITES,5734,Other consumables,79.00,0.00,79.00
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403453994,ONE STOP 3026,5411,Catering costs - provisions,9.85,0.00,9.85
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,20-Dec-2024,000010403454046,BOOKING #25090614,4121,Staff travelling,44.60,0.00,44.60
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,20-Dec-2024,000010403454054,The Bell,7011,Conferencesseminars fees etc,790.00,0.00,790.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,20-Dec-2024,000010403454062,UBER TRIP,4121,Staff travelling,23.12,0.00,23.12
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403454174,HOME BARGAINS,5399,Catering costs - provisions,88.76,0.00,88.76
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403454190,ASDA STORES,5411,Catering costs - provisions,188.86,0.00,188.86
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,20-Dec-2024,000010403454320,OCTOPUS ENERGY LTD,4900,Other fuels,72.74,0.00,72.74
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,20-Dec-2024,000010403454330,E.ON NEXT,4900,Other fuels,66.23,0.00,66.23
Neighbourhoods and Climate Change,Environmental Services,010301,C&G - North Grounds Maintenance,Supplies and Services,304221,Equipment and Materials,20-Dec-2024,000010403454352,GUSTHARTS,5261,Direct materials,303.60,0.00,303.60
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403454438,ASDA GEORGE COM LEEDS,5411,Catering costs - provisions,98.75,16.46,82.29
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,308011,Furniture,20-Dec-2024,000010403454446,J DODDS CARPETS LTD,5713,Furniture repair and replacement,190.00,0.00,190.00
Children and Young Peoples Services,Head of Childrens Social Care,085553,Children with Disability Home- Aycliffe fire station,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403454562,SAINSBURYS AYCLIFF,5411,Catering costs - provisions,9.85,0.00,9.85
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010403454672,SHOE ZONE Ltd.,5661,Clothing uniforms and laundry,79.90,0.00,79.90
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304403,Equipment and Materials,20-Dec-2024,000010403454712,CARD FACTORY,5947,Other consumables,5.88,0.00,5.88
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403454722,ONE BELOW,5411,Catering costs - provisions,20.95,0.00,20.95
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304259,Equipment and Materials,20-Dec-2024,000010403454732,SPORTSDIRECT.COM,5941,Equipment-purchase and rental,10.00,0.00,10.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010403454740,PRIMARK,5651,Clothing uniforms and laundry,41.00,0.00,41.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,20-Dec-2024,000010403454788,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,20-Dec-2024,000010403454794,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,20-Dec-2024,000010403454802,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,20-Dec-2024,000010403454814,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,348037,Subsistence E348,20-Dec-2024,000010403454832,SQ THE GINGER DOG,5812,Subsistence,292.01,0.00,292.01
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,20-Dec-2024,000010403454846,UBER TRIP,4121,Staff travelling,48.98,0.00,48.98
Adult and Health Services,Public Health CC0450,057040,Public Health Team,Employees,040149,Recruitment Instruction and Training,20-Dec-2024,000010403454882,THOMSON REUTERS UK LTD,8999,Training-all costs,372.00,0.00,372.00
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,344033,Telephones,20-Dec-2024,000010403454926,VESTA VODAFONE TOPUP,4814,Telephones general-all costs,10.00,0.00,10.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,20-Dec-2024,000010403454944,Zettle_ THE WELL,5812,Subsistence,4.50,0.00,4.50
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,308011,Furniture,20-Dec-2024,000010403454954,WWW.VONHAUS.COM,5719,Furniture repair and replacement,44.99,0.00,44.99
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010403454962,WWW.ARGOS.CO.UK,5311,Clothing uniforms and laundry,99.99,0.00,99.99
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,304221,Equipment and Materials,20-Dec-2024,000010403454974,SCREWFIX DIRECT,5211,Direct materials,39.99,0.00,39.99
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Transfer Payments,515002,Social Services Clients,20-Dec-2024,000010403455016,PAYPAL ULTIMATEOUT,5641,Pocket money,-85.50,0.00,-85.50
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,20-Dec-2024,000010403455120,EDEN FARM,5199,Other expenses,291.60,0.00,291.60
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403455174,TESCO STORES 2371,5411,Catering costs - provisions,130.01,0.00,130.01
Dedicated Schools Grant BG0015,DSG Schools Block,703408,Evergreen - Gen Curriculum,Supplies and Services,384409,Miscellaneous Expenses,20-Dec-2024,000010403455192,RUFF N TUMBLE ADVENTUR,5812,Educational visits,87.42,14.57,72.85
Dedicated Schools Grant BG0015,DSG Schools Block,703408,Evergreen - Gen Curriculum,Supplies and Services,384409,Miscellaneous Expenses,20-Dec-2024,000010403455192 - 1,RUFF N TUMBLE ADVENTUR,5812,Educational visits,0.03,,0.03
Resources BK0010,HR & Employee Services,010984,Training and Development,Employees,040149,Recruitment Instruction and Training,20-Dec-2024,000010403455218,WWW.CSCS.UK.COM,8249,Training-all costs,36.00,6.00,30.00
Resources BK0010,HR & Employee Services,010984,Training and Development,Employees,040149,Recruitment Instruction and Training,20-Dec-2024,000010403455226,WWW.CSCS.UK.COM,8249,Training-all costs,36.00,6.00,30.00
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010403455306,W BOYES & CO LTD BISHO,5310,Clothing uniforms and laundry,39.80,0.00,39.80
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403455316,ASDA STORES,5411,Catering costs - provisions,57.90,0.00,57.90
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Supplies and Services,348037,Subsistence E348,20-Dec-2024,000010403455344,MCDONALDS,5812,Subsistence,32.83,0.00,32.83
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,20-Dec-2024,000010403455366,TRAVELODGE,3615,Conferencesseminars fees etc,"1,033.86",0.00,"1,033.86"
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,20-Dec-2024,000010403455372,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,42.00,0.00,42.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,384999,Miscellaneous Expenses,20-Dec-2024,000010403455412,JULIES PETS,5995,Other expenses,10.59,0.00,10.59
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304999,Equipment and Materials,20-Dec-2024,000010403455416,"BOOTS/5009,NEWTON",5912,Misc equipment tools and materials,32.46,0.00,32.46
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Employees,040149,Recruitment Instruction and Training,20-Dec-2024,000010403455422,WWW.BHS.ORG.UK,8699,Training-all costs,67.00,0.00,67.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,20-Dec-2024,000010403455438,AMZNMktplace II6YL5W55,5999,Other consumables,151.92,0.00,151.92
Children and Young Peoples Services,Head of Childrens Social Care,085334,West Rainton Satelite Home,Supplies and Services,328041,Clothing uniforms and laundry E328,20-Dec-2024,000010403455504,Tu Clothing,5651,Clothing uniforms and laundry,20.95,0.00,20.95
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,20-Dec-2024,000010403455558,SAINSBURYS S/MKTS,5411,Catering costs - provisions,13.96,0.00,13.96
